ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert
1763399160682,0.25456,0.24450164,1.06079387057,1
1763399160715,0.259095,0.24887965,1.06900689905,1
1763399160748,0.26253,0.25297476,1.07735506598,1
1763399160782,0.26655,0.25704733,1.08609467516,1
1763399160816,0.27129,0.26132013,1.09471823945,1
1763399160850,0.275955,0.26571059,1.10401811014,1
1763399160883,0.280845,0.27025091,1.1129363903,1
1763399160914,0.286875,0.27523814,1.12119353449,1
1763399160945,0.292515,0.2804212,1.13016701282,1
1763399160977,0.298085,0.28572034,1.13931006365,1
1763399161014,0.293105,0.28793574,1.14967575017,1
1763399161046,0.299165,0.29130452,1.15899749468,1
1763399161076,0.30533,0.29551216,1.16815837167,1
1763399161108,0.29741,0.29608151,1.17763298008,1
1763399161139,0.30338,0.29827106,1.18658111185,1
1763399161176,0.31128,0.30217374,1.19806371402,1
1763399161210,0.299735,0.30144212,1.20831274606,1
1763399161243,0.30872,0.30362548,1.21802876152,1
1763399161275,0.316055,0.30735434,1.22817145469,1
1763399161314,0.308845,0.30780154,1.23986791308,1
1763399161344,0.31414,0.30970308,1.24946870843,1
1763399161375,0.344955,0.32027865,1.25939734667,1
1763399161405,0.32451,0.32154806,1.26872224033,1
1763399161437,0.326495,0.32303214,1.27938230095,1
1763399161470,0.32752,0.3243785,1.29008679138,1
1763399161504,0.313395,0.32108345,1.30100362864,1
1763399161533,0.314075,0.31898091,1.31025407514,1
1763399161569,0.31399,0.31748364,1.32136600254,1
1763399161598,0.28062,0.30642455,1.33055873897,1
1763399161628,0.279975,0.29848968,1.33951342948,1
1763399161670,0.278075,0.29236528,1.35179277117,1
1763399161698,0.23979,0.27659269,1.35953736663,1
1763399161726,0.236625,0.26460239,1.36694623345,1
1763399161756,0.235365,0.25583117,1.37462116856,1
1763399161804,0.191745,0.23660532,1.38597822389,1
1763399161831,0.19051,0.22277672,1.39199319543,1
1763399161860,0.18997,0.21293471,1.39816830192,1
1763399161891,0.138175,0.19050679,1.40407401255,1
1763399161933,0.13804,0.17476676,1.41141421631,1
1763399161961,0.135825,0.16308423,1.41598057473,1
1763399161995,0.133295,0.15414746,1.42122158839,1
1763399162024,0.131175,0.14725572,1.42549200434,1
1763399162054,0.129575,0.14195151,1.42975054951,1
1763399162085,0.12604,0.13717805,1.43400306918,1
1763399162128,0.122645,0.13281814,1.4397142491,1
1763399162161,0.118855,0.1286292,1.44395901258,1
1763399162190,0.115365,0.12464994,1.44757386077,1
1763399162218,0.11162,0.12074096,1.45095460755,1
1763399162262,0.10597,0.11630967,1.456072233,1
1763399162299,0.102125,0.11205427,1.46021824094,1
1763399162323,0.097575,0.10771049,1.46280329265,1
1763399162351,0.09389,0.10356434,1.46570309421,1
1763399162399,0.091335,0.099895539,1.47049808009,1
1763399162426,0.086965,0.096016377,1.47309052228,1
1763399162457,0.0793,0.091001464,1.47591156767,1
1763399162484,0.070595,0.084879525,1.47820331484,1
1763399162513,0.060725,0.077633167,1.4804546767,1
1763399162546,0.047505,0.068594717,1.48264970765,1
1763399162584,0.033745,0.058139802,1.48485902013,1
1763399162621,0.027695,0.049006361,1.48672126186,1
1763399162648,0.028315,0.042798953,1.48787683359,1
1763399162681,0.05517,0.046510267,1.48941167241,1
1763399162718,0.06394,0.051739187,1.49132602233,1
1763399162745,0.072645,0.058010931,1.49289231746,1
1763399162780,0.10832,0.073103652,1.49545094527,1
1763399162811,0.117345,0.086376056,1.49812860301,1
1763399162845,0.124215,0.097727739,1.50145134614,1
1763399162881,0.13116,0.10775742,1.50533061317,1
1763399162909,0.13913,0.11716919,1.50861135055,1
1763399162943,0.14811,0.12645143,1.51291069933,1
1763399162974,0.154735,0.1349365,1.51709373096,1
1763399163012,0.163025,0.14336305,1.52239816392,1
1763399163045,0.169805,0.15129564,1.52754221558,1
1763399163073,0.179535,0.15976745,1.53201570407,1
1763399163107,0.18606,0.16765521,1.53771598128,1
1763399163139,0.19135,0.17476365,1.54313365438,1
1763399163176,0.195035,0.18084505,1.55000576643,1
1763399163210,0.19693,0.18567054,1.55631856472,1
1763399163238,0.198275,0.18945188,1.56162321726,1
1763399163270,0.169925,0.18359381,1.56749821929,1
1763399163304,0.16582,0.17826167,1.57355911605,1
1763399163349,0.16224,0.17345517,1.58136459864,1
1763399163371,0.111375,0.15483112,1.58477088324,1
1763399163400,0.10739,0.14059878,1.58884824793,1
1763399163433,0.10161,0.12890215,1.59297311666,1
1763399163486,0.053895,0.1064,1.59871871685,1
1763399163512,0.051365,0.089889502,1.60105584391,1
1763399163534,0.05013,0.077961652,1.60277100025,1
1763399163566,0.04783,0.068922156,1.60497650925,1
1763399163613,0.047405,0.062467009,1.60791245869,1
1763399163642,0.04512,0.057262907,1.60951582007,1
1763399163672,0.043775,0.053216535,1.61116553264,1
1763399163695,0.043865,0.050411074,1.61232498735,1
1763399163736,0.043305,0.048279252,1.61430443668,1
1763399163761,0.043425,0.046822976,1.61547501109,1
1763399163801,0.042735,0.045596583,1.61729887443,1
1763399163835,0.041585,0.044393108,1.61880824011,1
1763399163861,0.040735,0.043295676,1.61993392769,1
1763399163893,0.038275,0.041789473,1.62127119083,1
1763399163924,0.036215,0.040117131,1.62251482189,1
1763399163964,0.032685,0.037887492,1.62403032157,1
1763399163997,0.02762,0.034807244,1.62517896063,1
1763399164025,0.024885,0.031830571,1.62603838605,1
1763399164057,0.026105,0.0301129,1.62703211174,1
1763399164103,0.029005,0.02978053,1.62837223558,1
1763399164131,0.03456,0.031214371,1.62924623796,1
1763399164161,0.04005,0.03386506,1.63029605481,1
1763399164189,0.047665,0.038005042,1.63132219093,1
1763399164222,0.05357,0.042674529,1.63277312493,1
1763399164253,0.05696,0.04696017,1.63422889021,1
1763399164292,0.062365,0.051581619,1.63624057336,1
1763399164325,0.06551,0.055760134,1.63808065777,1
1763399164351,0.067495,0.059280593,1.6396219532,1
1763399164384,0.070165,0.062545915,1.64168596841,1
1763399164417,0.070585,0.064957641,1.64382957055,1
1763399164457,0.07272,0.067286349,1.6465210245,1
1763399164488,0.073855,0.069256944,1.64859873282,1
1763399164518,0.074125,0.070717361,1.650790971,1
1763399164549,0.07348,0.071546153,1.65300890173,1
1763399164586,0.073445,0.072115807,1.65567718658,1
1763399164622,0.074465,0.072820565,1.65829872691,1
1763399164650,0.07384,0.073126395,1.66027313959,1
1763399164683,0.074305,0.073479977,1.6627714588,1
1763399164714,0.073515,0.073490484,1.66504966379,1
1763399164752,0.0713,0.072833339,1.66781733066,1
1763399164787,0.06849,0.071530337,1.67032089245,1
1763399164813,0.06744,0.070303236,1.67214877659,1
1763399164846,0.066675,0.069214765,1.67443286384,1
1763399164879,0.06669,0.068457336,1.67669195591,1
1763399164916,0.065475,0.067562635,1.6791917734,1
1763399164951,0.063865,0.066453344,1.68151764046,1
1763399164977,0.061205,0.064878841,1.68313961149,1
1763399165009,0.05942,0.063241189,1.68522657072,1
1763399165040,0.060835,0.062519332,1.68716467001,1
1763399165080,0.059375,0.061576033,1.68962771131,1
1763399165114,0.05911,0.060836223,1.69169614289,1
1763399165140,0.057045,0.059698856,1.69324831314,1
1763399165190,0.056955,0.058875699,1.6961332224,1
1763399165212,0.05773,0.058531989,1.69747945815,1
1763399165244,0.05754,0.058234393,1.69934295872,1
1763399165277,0.057885,0.058129575,1.70126123469,1
1763399165305,0.05508,0.057214702,1.70280603165,1
1763399165337,0.054405,0.056371792,1.70466630077,1
1763399165369,0.053485,0.055505754,1.70644248491,1
1763399165409,0.05381,0.054997028,1.70864236602,1
1763399165442,0.053125,0.05443542,1.71043873487,1
1763399165467,0.051785,0.053640294,1.71177974221,1
1763399165508,0.051715,0.053062706,1.71395531314,1
1763399165543,0.053655,0.053240394,1.71576548653,1
1763399165569,0.053015,0.053172776,1.7171479787,1
1763399165600,0.052665,0.053020443,1.71884463288,1
1763399165632,0.052365,0.05282381,1.72048217099,1
1763399165673,0.05068,0.052180667,1.72267375901,1
1763399165707,0.05105,0.051841467,1.72443636888,1
1763399165733,0.050465,0.051428527,1.72572208205,1
1763399165785,0.049,0.050699969,1.7284091804,1
1763399165810,0.04634,0.049391978,1.72964397986,1
1763399165840,0.04642,0.048500385,1.7310989914,1
1763399165872,0.04598,0.047744269,1.73262680801,1
1763399165895,0.04507,0.046941989,1.73370647375,1
1763399165925,0.043955,0.046045892,1.73508785051,1
1763399165977,0.04221,0.044895124,1.73742239698,1
1763399166006,0.04058,0.043600587,1.738686814,1
1763399166037,0.042465,0.043259911,1.73998461133,1
1763399166061,0.04156,0.042749938,1.74105335977,1
1763399166090,0.04026,0.042002956,1.74227144551,1
1763399166139,0.039855,0.041358569,1.74429801541,1
1763399166169,0.03928,0.040734999,1.74552006537,1
1763399166199,0.03912,0.040250499,1.74672758034,1
1763399166224,0.038735,0.039795849,1.74772247657,1
1763399166253,0.03713,0.038996095,1.74885336331,1
1763399166304,0.03641,0.038220266,1.75080259689,1
1763399166334,0.035,0.037254186,1.75192022248,1
1763399166364,0.03483,0.03652693,1.75301603039,1
1763399166390,0.033335,0.035569351,1.75390526417,1
1763399166418,0.06139,0.043315546,1.755161415,1
1763399166462,0.06078,0.048554882,1.75729782982,1
1763399166493,0.060525,0.052145917,1.75891435326,1
1763399166526,0.093075,0.064424642,1.76097594181,1
1763399166552,0.094175,0.07334975,1.7628830353,1
1763399166581,0.09396,0.079532825,1.76526902004,1
1763399166618,0.124995,0.093171477,1.76862319322,1
1763399166657,0.125245,0.10279353,1.77263214105,1
1763399166689,0.124515,0.10930997,1.77623937019,1
1763399166715,0.15582,0.12326298,1.77944420772,1
1763399166745,0.155135,0.13282459,1.78342894533,1
1763399166783,0.1534,0.13899721,1.78871083935,1
1763399166822,0.18794,0.15368005,1.79470436121,1
1763399166851,0.188595,0.16415453,1.79946484268,1
1763399166879,0.18805,0.17132317,1.80426189154,1
1763399166911,0.1888,0.17656622,1.80991201062,1
1763399166961,0.1888,0.18023635,1.81892382837,1
1763399166988,0.18685,0.18222045,1.82384378048,1
1763399167012,0.186245,0.18342781,1.8280626202,1
1763399167041,0.1851,0.18392947,1.83358050429,1
1763399167093,0.184805,0.18419213,1.84315849499,1
1763399167126,0.1847,0.18434449,1.84924186316,1
1763399167151,0.184395,0.18435964,1.85385085424,1
1763399167175,0.185495,0.18470025,1.85828366025,1
1763399167206,0.186235,0.18516068,1.8638384805,1
1763399167258,0.185385,0.18522797,1.87365556305,1
1763399167285,0.18509,0.18518658,1.87865560073,1
1763399167313,0.18547,0.18527161,1.88384320571,1
1763399167343,0.18684,0.18574212,1.88922972733,1
1763399167371,0.1862,0.18587949,1.89462023246,1
1763399167425,0.18572,0.18583164,1.90465514107,1
1763399167450,0.18525,0.18565715,1.90929656979,1
1763399167474,0.18631,0.185853,1.91375704189,1
1763399167502,0.18757,0.1863681,1.91897534877,1
1763399167534,0.18712,0.18659367,1.92494634628,1
1763399167578,0.18675,0.18664057,1.93315853137,1
1763399167609,0.18642,0.1865744,1.93894233775,1
1763399167636,0.18609,0.18642908,1.94378949382,1
1763399167667,0.186115,0.18633486,1.9497522092,1
1763399167698,0.18714,0.1865764,1.95553607757,1
1763399167750,0.186215,0.18646798,1.96523241249,1
1763399167772,0.185115,0.18606209,1.96932577837,1
1763399167798,0.18399,0.18544046,1.97396178987,1
1763399167829,0.184045,0.18502182,1.97988248817,1
1763399167862,0.183205,0.18447678,1.98597022175,1
1763399167902,0.183665,0.18423324,1.99333955146,1
1763399167938,0.1822,0.18362327,1.99976636591,1
1763399167971,0.182385,0.18325179,2.00599692673,1
1763399168003,0.18215,0.18292125,2.0118504068,1
1763399168032,0.18358,0.18311888,2.01716085423,1
1763399168069,0.182365,0.18289271,2.02392788463,1
1763399168103,0.182,0.1826249,2.03013713121,1
1763399168135,0.18294,0.18271943,2.03580143353,1
1763399168168,0.183085,0.1828291,2.04201762296,1
1763399168201,0.182295,0.18266887,2.04804569569,1
1763399168234,0.18243,0.18259721,2.0540714036,1
1763399168266,0.1819,0.18238805,2.05990782109,1
1763399168297,0.18127,0.18205263,2.0655514527,1
1763399168330,0.18026,0.18151484,2.07135992767,1
1763399168364,0.179885,0.18102589,2.07751480792,1
1763399168399,0.179805,0.18065962,2.08383789473,1
1763399168429,0.180145,0.18050524,2.08943355705,1
1763399168462,0.179085,0.18007917,2.0953761695,1
1763399168493,0.17925,0.17983042,2.10095091239,1
1763399168528,0.17842,0.17940729,2.10723016757,1
1763399168562,0.177935,0.1789656,2.11313603249,1
1763399168596,0.178,0.17867592,2.11938968978,1
1763399168628,0.179405,0.17889465,2.12511431845,1
1763399168660,0.17907,0.17894725,2.13084063052,1
1763399168692,0.179385,0.17907858,2.13657114496,1
1763399168733,0.179385,0.1791705,2.14391713561,1
1763399168758,0.17935,0.17922435,2.14839774442,1
1763399168783,0.18026,0.17953505,2.15288612059,1
1763399168814,0.1792,0.17943453,2.1584485911,1
1763399168857,0.179635,0.17949467,2.16616686203,1
1763399168887,0.17979,0.17958327,2.17155436016,1
1763399168922,0.18061,0.17989129,2.1778505553,1
1763399168951,0.18076,0.1801519,2.18307496049,1
1763399168982,0.179265,0.17988583,2.18865142128,1
1763399169015,0.179115,0.17965458,2.19458002249,1
1763399169044,0.17899,0.17945521,2.19978422352,1
1763399169077,0.177955,0.17900515,2.20569139331,1
1763399169118,0.177095,0.1784321,2.21282867738,1
1763399169149,0.17723,0.17807147,2.21852696446,1
1763399169188,0.17666,0.17764803,2.22545523763,1
1763399169210,0.176515,0.17730812,2.22935601629,1
1763399169242,0.175695,0.17682418,2.2350143902,1
1763399169280,0.174795,0.17621543,2.24171057651,1
1763399169310,0.176205,0.1762123,2.24682073322,1
1763399169351,0.177105,0.17648011,2.25423289785,1
1763399169373,0.176235,0.17640658,2.25811384255,1
1763399169409,0.176635,0.1764751,2.2644669463,1
1763399169446,0.176565,0.17650207,2.27099752299,1
1763399169474,0.175815,0.17629595,2.27575751367,1
1763399169507,0.17403,0.17561617,2.28155284714,1
1763399169538,0.175305,0.17552282,2.28716957725,1
1763399169573,0.17542,0.17549197,2.29331179624,1
1763399169609,0.174405,0.17516588,2.29961776792,1
1763399169636,0.17436,0.17492412,2.30434071905,1
1763399169670,0.174785,0.17488238,2.31028672,1
1763399169701,0.17493,0.17489667,2.31570851667,1
1763399169739,0.1744,0.17474767,2.32234892801,1
1763399169773,0.17455,0.17468837,2.32828833248,1
1763399169800,0.173595,0.17436036,2.33299606211,1
1763399169834,0.17471,0.17446525,2.3389278806,1
1763399169866,0.17367,0.17422667,2.34450313419,1
1763399169913,0.17259,0.17373567,2.35266871079,1
1763399169935,0.173495,0.17366347,2.35648930715,1
1763399169966,0.17344,0.17359643,2.36169720003,1
1763399169997,0.17309,0.1734445,2.36724742405,1
1763399170032,0.17328,0.17339515,2.37314285916,1
1763399170069,0.17261,0.17315961,2.37972292417,1
1763399170096,0.172595,0.17299022,2.38439366021,1
1763399170133,0.17127,0.17247416,2.390775204,1
1763399170160,0.17057,0.17190291,2.39541658256,1
1763399170200,0.17078,0.17156604,2.40227922403,1
1763399170233,0.17055,0.17126123,2.40793084448,1
1763399170260,0.17107,0.17120386,2.41255334864,1
1763399170294,0.171055,0.1711592,2.41837276146,1
1763399170325,0.17005,0.17082644,2.42366838112,1
1763399170364,0.17058,0.17075251,2.43032772894,1
1763399170398,0.17113,0.17086576,2.43596629888,1
1763399170424,0.17074,0.17082803,2.44057865567,1
1763399170457,0.172175,0.17123212,2.44622931564,1
1763399170489,0.17175,0.17138748,2.45171371513,1
1763399170529,0.171865,0.17153074,2.45857494469,1
