ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert,hot_abs,hot_rel,hot_thr,normF,calib_phase
1763421848488,0.00023429924,0.00022095619,0.00225731861548,0,0,24742,225,44000,0
1763421848527,0.00022741477,0.00022289376,0.00226578857848,0,0,24015,225,44000,0
1763421848586,0.0002134375,0.00022005688,0.00227943210529,0,0,22539,225,44000,0
1763421848619,0.00020901515,0.00021674436,0.00228723490241,0,0,22072,225,44000,0
1763421848688,0.00019891098,0.00021139435,0.00230076414084,0,0,21005,225,44000,0
1763421848717,0.00019342803,0.00020600445,0.00230859231011,0,0,20426,225,44000,0
1763421848788,0.00016921402,0.00019496732,0.00231990041482,0,0,17869,225,44000,0
1763421848819,0.00016840909,0.00018699985,0.00232775440866,0,0,17784,225,44000,0
1763421848873,0.00016099432,0.00017919819,0.00233814790383,0,0,17001,225,44000,0
1763421848910,0.00014226326,0.00016811771,0.00234352767062,0,0,15023,225,44000,0
1763421848944,0.00013393939,0.00015786422,0.00234857932555,0,0,14144,225,44000,0
1763421849006,0.00012931818,0.00014930041,0.00235873175317,0,0,13656,225,44000,0
1763421849036,0.00012647727,0.00014245347,0.00236329026409,0,0,13356,225,44000,0
1763421849076,0.00012039773,0.00013583674,0.00236763703991,0,0,12714,225,44000,0
1763421849109,0.00012337121,0.00013209708,0.0023721283408,0,0,13028,225,44000,0
1763421849170,0.00010481061,0.00012391114,0.00238030647611,0,0,11068,225,44000,0
1763421849202,0.00010113636,0.00011707871,0.00238405299477,0,0,10680,225,44000,0
1763421849242,9.2007576e-05,0.00010955737,0.00238755883055,0,0,9716,225,44000,0
1763421849272,8.0804924e-05,0.00010093164,0.00239119236941,0,0,8533,225,44000,0
1763421849336,7.4195076e-05,9.2910667e-05,0.00239713865212,0,0,7835,225,44000,0
1763421849369,8.0407197e-05,8.9159626e-05,0.00239999176016,0,0,8491,225,44000,0
1763421849405,9.2140152e-05,9.0053784e-05,0.00240287348124,0,0,9730,225,44000,0
1763421849435,0.00010145833,9.3475149e-05,0.00240614511144,0,0,10714,225,44000,0
1763421849497,0.00010173295,9.595249e-05,0.00241238202332,0,0,10743,225,44000,0
1763421849536,0.00011349432,0.00010121504,0.00241562090456,0,0,11985,225,44000,0
1763421849571,0.00011340909,0.00010487325,0.00241918659521,0,0,11976,225,44000,0
1763421849631,0.0001138447,0.00010756469,0.00242628586456,0,0,12022,225,44000,0
1763421849659,0.00011227273,0.0001089771,0.00242977313173,0,0,11856,225,44000,0
1763421849703,0.00011361742,0.0001103692,0.00243330494603,0,0,11998,225,44000,0
1763421849736,0.00011590909,0.00011203116,0.00243745009913,0,0,12240,225,44000,0
1763421849794,0.00011143939,0.00011185363,0.00244449687805,0,0,11768,225,44000,0
1763421849828,0.00010920455,0.00011105891,0.00244805076308,0,0,11532,225,44000,0
1763421849869,0.0001100947,0.00011076964,0.0024515953917,0,0,11626,225,44000,0
1763421849902,0.00010848485,0.00011008421,0.00245588867571,0,0,11456,225,44000,0
1763421849980,0.00010392045,0.00010823508,0.0024624910156,0,0,10974,225,44000,0
1763421850021,0.000105,0.00010726456,0.0024678542434,0,0,11088,225,44000,0
1763421850055,0.00010794508,0.00010746871,0.00247279780416,0,0,11399,225,44000,0
1763421850096,0.0001045928,0.00010660594,0.00247620919422,0,0,11045,225,44000,0
1763421850122,0.00010011364,0.00010465825,0.00248018620766,0,0,10572,225,44000,0
1763421850202,0.00010145833,0.00010369827,0.00248661550064,0,0,10714,225,44000,0
1763421850230,0.00010094697,0.00010287288,0.00249114190747,0,0,10660,225,44000,0
1763421850290,9.2642045e-05,9.9803631e-05,0.00249673091084,0,0,9783,225,44000,0
1763421850327,8.8162879e-05,9.6311406e-05,0.00249981287582,0,0,9310,225,44000,0
1763421850358,8.4848485e-05,9.2872529e-05,0.00250324915941,0,0,8960,225,44000,0
1763421850440,7.9441288e-05,8.8843157e-05,0.0025088462783,0,0,8389,225,44000,0
1763421850478,7.5142045e-05,8.4732824e-05,0.00251308291947,0,0,7935,225,44000,0
1763421850518,6.6278409e-05,7.9196499e-05,0.00251672595843,0,0,6999,225,44000,0
1763421850544,6.2102273e-05,7.4068231e-05,0.00251909614183,0,0,6558,225,44000,0
1763421850627,5.5426136e-05,6.8475603e-05,0.00252375248282,0,0,5853,225,44000,0
1763421850666,5.4545455e-05,6.4296558e-05,0.00252638864171,0,0,5760,225,44000,0
1763421850710,4.9839015e-05,5.9959295e-05,0.00252968640296,0,0,5263,225,44000,0
1763421850745,4.9034091e-05,5.6681734e-05,0.00253172694538,0,0,5178,225,44000,0
1763421850787,4.8863636e-05,5.4336305e-05,0.00253346570713,0,0,5160,225,44000,0
1763421850821,4.9289773e-05,5.2822345e-05,0.0025354201339,0,0,5205,225,44000,0
1763421850874,4.9270833e-05,5.1756892e-05,0.00253847379051,0,0,5203,225,44000,0
1763421850908,4.6174242e-05,5.0082097e-05,0.00254027674599,0,0,4876,225,44000,0
1763421850955,3.7916667e-05,4.6432468e-05,0.00254176258496,0,0,4004,225,44000,0
1763421850986,2.719697e-05,4.0661818e-05,0.00254342971952,0,0,2872,225,44000,0
1763421851038,0,2.8463273e-05,0.00254499519952,0,0,29,225,44000,0
1763421851076,0,1.9924291e-05,0.002545712474,0,0,29,225,44000,0
1763421851117,0,1.3947004e-05,0.00254615877812,0,0,238,225,44000,0
1763421851146,6.3636364e-06,1.1671993e-05,0.00254662565786,0,0,672,225,44000,0
1763421851203,2.2263258e-05,1.4849373e-05,0.00254745722273,0,0,2351,225,44000,0
1763421851245,3.3721591e-05,2.0511038e-05,0.0025481956201,0,0,3561,225,44000,0
1763421851284,4.875947e-05,2.8985568e-05,0.00254921011497,0,0,5149,225,44000,0
1763421851337,8.7026515e-05,4.6397852e-05,0.00255204038394,0,0,9190,225,44000,0
1763421851363,0.0001066572,6.4475655e-05,0.00255410360491,0,0,11263,225,44000,0
1763421851415,0.00012627841,8.3016482e-05,0.00255709219824,0,0,13335,225,44000,0
1763421851452,0.00014612689,0.00010194961,0.00256127213206,0,0,15431,225,44000,0
1763421851499,0.00017448864,0.00012371131,0.00256807625436,0,0,18426,225,44000,0
1763421851528,0.00018486742,0.00014205815,0.00257262211508,0,0,19522,225,44000,0
1763421851579,0.00019548295,0.00015808559,0.00257831319631,0,0,20643,225,44000,0
1763421851610,0.00020581439,0.00017240423,0.00258538176977,0,0,21734,225,44000,0
1763421851661,0.00022476326,0.00018811194,0.00259572792641,0,0,23735,225,44000,0
1763421851703,0.0002307197,0.00020089427,0.00260296012,0,0,24364,225,44000,0
1763421851743,0.00023292614,0.00021050383,0.0026099067463,0,0,24597,225,44000,0
1763421851799,0.00023420455,0.00021761404,0.002623616431,0,0,24732,225,44000,0
1763421851838,0.00022926136,0.00022110824,0.00263091300288,0,0,24210,225,44000,0
1763421851899,0.00021982008,0.00022072179,0.00264570136282,0,0,23213,225,44000,0
1763421851924,0.00021236742,0.00021821548,0.00265290247367,0,0,22426,225,44000,0
1763421852008,0.00020015152,0.00021279629,0.00266630863999,0,0,21136,225,44000,0
1763421852038,0.00019219697,0.00020661649,0.00267581299873,0,0,20296,225,44000,0
1763421852091,0.0001805303,0.00019879064,0.00268654769313,0,0,19064,225,44000,0
1763421852129,0.00017563447,0.00019184379,0.00269268669431,0,0,18547,225,44000,0
1763421852169,0.00017028409,0.00018537588,0.00269917485004,0,0,17982,225,44000,0
1763421852229,0.00016572917,0.00017948186,0.00271084117124,0,0,17501,225,44000,0
1763421852255,0.00016247159,0.00017437878,0.00271694442863,0,0,17157,225,44000,0
1763421852335,0.00015721591,0.00016922992,0.00272726745378,0,0,16602,225,44000,0
1763421852365,0.00015193182,0.00016404049,0.00273464927582,0,0,16044,225,44000,0
1763421852421,0.00014518939,0.00015838516,0.00274336045968,0,0,15332,225,44000,0
1763421852462,0.00014388258,0.00015403439,0.00274828956001,0,0,15194,225,44000,0
1763421852494,0.00013852273,0.00014938089,0.00275426479553,0,0,14628,225,44000,0
1763421852571,0.00013148674,0.00014401264,0.00276290555419,0,0,13885,225,44000,0
1763421852606,0.00012756629,0.00013907874,0.00276972041232,0,0,13471,225,44000,0
1763421852659,0.00012344697,0.00013438921,0.00277603670506,0,0,13036,225,44000,0
1763421852691,0.0001180303,0.00012948154,0.00278134544803,0,0,12464,225,44000,0
1763421852758,0.00011267045,0.00012443821,0.0027886873025,0,0,11898,225,44000,0
1763421852787,0.00011047348,0.00012024879,0.00279349725424,0,0,11666,225,44000,0
1763421852852,0.00010558712,0.00011585029,0.00280044827175,0,0,11150,225,44000,0
1763421852891,9.9867424e-05,0.00011105543,0.00280422415642,0,0,10546,225,44000,0
1763421852946,9.5435606e-05,0.00010636948,0.00281081906442,0,0,10078,225,44000,0
1763421852972,9.3655303e-05,0.00010255523,0.00281410083177,0,0,9890,225,44000,0
1763421853016,8.7547348e-05,9.8052865e-05,0.00281763073492,0,0,9245,225,44000,0
1763421853054,8.0823864e-05,9.2884165e-05,0.00282078879653,0,0,8535,225,44000,0
1763421853122,6.9602273e-05,8.5899597e-05,0.00282611457155,0,0,7350,225,44000,0
1763421853149,6.3399621e-05,7.9149604e-05,0.00282959715414,0,0,6695,225,44000,0
1763421853221,4.4337121e-05,6.8705859e-05,0.00283344468227,0,0,4682,225,44000,0
1763421853251,3.4507576e-05,5.8446374e-05,0.00283595787637,0,0,3644,225,44000,0
1763421853335,2.2443182e-05,4.7645417e-05,0.00283867366511,0,0,2370,225,44000,0
1763421853373,1.6212121e-05,3.8215428e-05,0.00284085194451,0,0,1712,225,44000,0
1763421853404,5.6912879e-06,2.8458186e-05,0.00284196181376,0,0,601,225,44000,0
1763421853433,3.5037879e-06,2.0971867e-05,0.00284263291349,0,0,370,225,44000,0
1763421853471,3.125e-06,1.5617807e-05,0.00284319515452,0,0,330,225,44000,0
1763421853511,6.7897727e-06,1.2969396e-05,0.00284361017521,0,0,717,225,44000,0
1763421853541,1.6401515e-05,1.3999032e-05,0.00284412813939,0,0,1732,225,44000,0
1763421853602,4.4659091e-05,2.319705e-05,0.00284549676533,0,0,4716,225,44000,0
1763421853641,6.4214015e-05,3.5502139e-05,0.00284677484234,0,0,6781,225,44000,0
1763421853678,8.6846591e-05,5.0905475e-05,0.00284855653396,0,0,9171,225,44000,0
1763421853734,0.00011785038,7.0988946e-05,0.00285288685967,0,0,12445,225,44000,0
1763421853759,0.0001279072,8.8064421e-05,0.00285570492115,0,0,13507,225,44000,0
1763421853809,0.00014118371,0.00010400021,0.00285944892866,0,0,14909,225,44000,0
